ticket_id,type,organization,organization_action,comment,Latitute,Longitude,photo,photo_after,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,duration_minutes_inprogress,duration_minutes_finished,duration_minutes_total,timestamp_inprogress,timestamp_finished
2023-GXRBBG,"จุดเสี่ยง,ความปลอดภัย","กรุงเทพมหานคร, เขตบางซื่อ, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตบางซื่อ, กรุงเทพมหานคร",ขอให้ดำเนินการแก้ไขแผ่นเหล็กบนพื้นถนน บริเวณแถวตลาดบางซ่อน ถนนกรุงเทพฯ-นนท์  เนื่องจากมีการนำแผ่นเหล็กมาปิดทับบนพื้นโดยไม่มีตัวยึดทำให้แผ่นเหล็กเลื่อน และเกิดอุบัติเหตุอันตรายต่อประชาชนบ่อยครั้ง โดยเฉพาะรถจักรยานยนต์  จึงขอให้เร่งดำเนินการแก้ไข  เพื่อความปลอดภัยของประชาชนต่อไป,100.53257,13.82174,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/e7376fb73324ef3834de4fab283578b7c3768bab.jpg,,965 2 ถ. กรุงเทพ - นนทบุรี แขวง บางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,28/11/2023 20:29,start,,0,28/11/2023 20:29,,,,,
2023-7ZBCWE,"อื่นๆ,ไฟฟ้า","กรุงเทพมหานคร, เขตคลองสามวา, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตคลองสามวา, กรุงเทพมหานคร",ถนนเลียบมอเตอร์เวย์เส้นใกล้ถนนหนองระแหงไม่มรไฟส่องสว่าง กลางคืนมืดมาก ขับรถอันตราย,100.69698,13.90141,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/50e3e5e5e6c220bca1311bf734824a43bcd30995.jpg,,WM2W+HQ กรุงเทพมหานคร ประเทศไทย,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,28/11/2023 20:29,start,,0,28/11/2023 20:29,,,,,
2023-G7Q9ZW,"ถนน,จราจร","กรุงเทพมหานคร, เขตราชเทวี, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตราชเทวี, กรุงเทพมหานคร","1. ถนนชำรุดเป็นหลุมขนาดใหญ่ หลายแห่ง หากปล่อยทิ้งไว้อาจทำให้เกิดอุบัติเหตุต่อชีวิต และทรัพย์สิน
2. ถนนชำรุดผิวหลุดร่อนหลายแห่ง หากไม่เร่งแก้ไข อาจทำให้เกิดอุบัติเหตุได้ง่าย
3. มีผู้ใช้มอเตอร์ไซด์ทำผิดกฎจราจรบ่อยครั้ง ในกรณี ทับทางม้าลาย
4. มีมอเตอร์ไซด์ฝ่าไฟแดงบ่อยครั้ง
5. มีรถยนต์ฝ่าไฟแดงบ่อยครั้ง
**6. มีมอเตอร์ไซด์ ขับย้อนตัดหน้าบ่อยครั้ง เพื่อชิงข้ามสัญญาณไฟจราจร",100.52592,13.76194,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/02a20b83a90569c73c627d9f649f0080a9b26aa2.jpg,,สี่แยกศรีอยุธยา 119 ถ. ศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ทุ่งพญาไท,ราชเทวี,กรุงเทพมหานคร,28/11/2023 20:29,start,,0,28/11/2023 20:29,,,,,
H467U9,"เสียง,ความปลอดภัย","ร้องทุกข์ กทม. 1555, เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตพระโขนง","เขตพระโขนง, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555","ปัญหา: มีเสียงดังจากการก่อสร้างคอนโด ตอนนี้ 20.00 น. ยังคงมีเสียงดังอยู่ และมีเสียงดังทุกวัน
ถนน: สุขุมวิท
จุดสังเกต: เยื้องกับตึกทรู ดิจิทัล พาร์ค ตรงสามแยกจะไปวัดทุ่ง
เขต: พระโขนง
#1555",100.61056,13.68501,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1701178130513.jpeg,,"3058, 1 ถ. สุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย",บางจาก,พระโขนง,กรุงเทพมหานคร,28/11/2023 20:28,start,,0,28/11/2023 20:28,,,,,
7DTB9G,"ถนน,จราจร","ร้องทุกข์ กทม. 1555, เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตบางกอกใหญ่","เขตบางกอกใหญ่, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555","ปัญหา: ฝาท่อระบายน้ำบนผิวจราจร ทรุดตัว 1 ฝา (ฝาปูนสี่เหลี่ยม)
ซอย: อิสระภาพ42
ถนน: ิอิสระภาพ
จุดสังเกต: ท้ายซอยอิสระภาพ 42 ก่อนขึ้นสะพานที่ไปทะลุอรุณอัมรินทร์
ซอยนี้จะอยู่ตรงข้ามซอยหอประชุมกองทัพเรือ
เขต: บางกอกใหญ่
#1555",100.48354,13.74489,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1701178108102.jpeg,,771 ถนน อิสรภาพ แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600 ประเทศไทย,วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,28/11/2023 20:28,start,,0,28/11/2023 20:28,,,,,
AUTLDC,ฝุ่นควัน&กลิ่น&PM2.5,"ร้องทุกข์ กทม. 1555, เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตหนองแขม","เขตหนองแขม, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555","ปัญหา: เหตุเดือดร้อนรำคาญเรื่องกลิ่นควันจากการทำอาหารจากร้านอาหารตามสั่งหน้าห้างซีเจมอ
เป็นประจำทุกวัน


บ้านเลขที่: 44/270 (บ้านเลขที่ผู้แจ้ง)
ซอย: เพชรเกษม 69
ถนน: เลียบคลองฝั่งเหนือ 
จุดสังเกต: หน้าหมู่บ้านปริญญารักษ์

เขต: หนองแขม
#1555",100.37196,13.69065,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1701177999274.jpeg,,44/221 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,หนองแขม,หนองแขม,กรุงเทพมหานคร,28/11/2023 20:26,start,,0,28/11/2023 20:26,,,,,
2023-6GV797,อื่นๆ,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร","กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",รถเมล์สาย 138 หมายเลข 5-70051 ไม่ยอมจอดรับผู้โดยสาร ป้ายรถเมล์ตรงข้ามวัดสน กม.9 เวลา 20.00,100.51267,13.66894,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/e363140b4292f00cc71c7fc13ebe5a9151e32191.jpg,,197 Family Mart Suksawat Road Rat Burana Khet Rat Burana Bangkok 10140 แขวง ราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140 ประเทศไทย,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,28/11/2023 20:21,start,,0,28/11/2023 20:21,,,,,
2023-G934DU,"จุดเสี่ยง,ความปลอดภัย","กรุงเทพมหานคร, เขตบางซื่อ, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตบางซื่อ, กรุงเทพมหานคร",ขอให้ดำเนินการแก้ไขแผ่นเหล็กบนพื้นถนน บริเวณแถวสามแยกซอยศรีพิชัยที่จะไปถนนประชาราษฎร์ สาย 1 เนื่องจากมีการนำแผ่นเหล็กขนาดใหญ่มาปิดทับบนพื้นถนนประกอบกับเป็นทางโค้ง ทำให้เกิดอุบัติเหตุอันตรายต่อประชาชนบ่อยครั้ง โดยเฉพาะรถจักรยานยนต์  จึงขอให้เร่งดำเนินการแก้ไขโดยเปลี่ยนเป็นพื้นยางมะตอยแทน เพื่อความปลอดภัยของประชาชนต่อไป,100.52785,13.80161,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/ad90fbe110188620a67312260ded1ac0f272f72a.jpg,,27ข.40 ถ. ประชาราษฎร์สาย1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,28/11/2023 20:15,start,,0,28/11/2023 20:15,,,,,
2023-DC72EU,"อื่นๆ,ไฟฟ้า","กรุงเทพมหานคร, เขตบางแค, เพื่อนชัชชาติ, สำนักการโยธา กทม.","เขตบางแค, สำนักการโยธา กทม., เพื่อนชัชชาติ, กรุงเทพมหานคร",ไฟส่องถนนดับเป็นแนวยาวบริเวณถนนพุทธมณฑลสาย2 ซอย3 มาพักใหญ่ๆแล้วครับ,100.39567,13.7155,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/6ea4518a36fd9e01b33cc14bd1a35efcb4e3c0f7.jpg,,P98W+46J แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160 ประเทศไทย,บางแคเหนือ,บางแค,กรุงเทพมหานคร,28/11/2023 20:14,forward,,0,28/11/2023 20:17,,,,,
6HMB2R,"ขยะ,ความสะอาด","ร้องทุกข์ กทม. 1555, เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตบางกะปิ","เขตบางกะปิ, กรุงเทพมหานคร, เพื่อนชัชชาติ, ร้องทุกข์ กทม. 1555","ขอให้ทำความสะอาดป้ายรถเมล์ จุดนี้ และ ป้ายรถเมล์ซอยรามคำแหง25
#1555 #bkkrongtook",100.61445,13.75646,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/1701177182413.jpeg,,เมเจอร์ฮอลลีวูด รามคําแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,28/11/2023 20:13,start,,0,28/11/2023 20:13,,,,,
2023-9NK3ZB,"จุดเสี่ยง,ความปลอดภัย","เพื่อนชัชชาติ, เขตสวนหลวง, กรุงเทพมหานคร","กรุงเทพมหานคร, เขตสวนหลวง, เพื่อนชัชชาติ","ซอยอ่อนนุช 37/1 เป็นพื้นที่คอมทูนิตี้ขนาดเล็ก และมีโครงการคอนโด จำนวนคนเยอะ และรถเข้าออกเยอะ
แต่มีไฟส่องสส่างที่หน้าปากซอยน้อย ทางม้าลายไม่มีไฟส้ม อยากให้มีไฟส้มคอยเตือน เพราะเกิดอุบัติเหตุเยอะมาก ส่งผลให้รถติดยาวเป็นกิโลที่เส้นหลัก สุขุมวิท 77",100.63554,13.71098,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/bf9074e77dabedd54494c3a7b77df50dff28405f.jpg,,1936 ถ. อ่อนนุช แขวง สวนหลวง แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,28/11/2023 20:12,start,,0,28/11/2023 20:12,,,,,
2023-3WCU9D,"จุดเสี่ยง,ความปลอดภัย","เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตคลองเตย, ฝ่ายโยธา เขตคลองเตย, สำนักการโยธา กทม.","ฝ่ายโยธา เขตคลองเตย, เขตคลองเตย, สำนักการโยธา กทม., กรุงเทพมหานคร, เพื่อนชัชชาติ",พื้นผิวจราจรไม่เรียบ ตอนกลางคืนมองไม่เห็นเป็นอันตรายสำหรับรถมอเตอร์ไซค์ อยากให้หน่วยงานมาปรับพื้นผิวให้เสมอกัน,100.55763,13.72006,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/72924c83d39ca303095899ea2c68219bed357639.jpg,,12 ถ. สุนทรโกษา แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,คลองเตย,กรุงเทพมหานคร,28/11/2023 20:12,forward,,0,28/11/2023 20:59,,,,,
2023-A4DMQ2,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,กรุงเทพโปร่งใส,ไม่แสดงรายละเอียด,100.61365,13.86306,https://storage.googleapis.com/traffy_public_bucket/TeamChadChart/corruption_photo2.png,,9/13 ถ. ลาดปลาเค้า แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,28/11/2023 20:10,start,,0,28/11/2023 20:10,,,,,
2023-EYEMU3,"อื่นๆ,ไฟฟ้า","เพื่อนชัชชาติ, กรุงเทพมหานคร, เขตบึงกุ่ม, ฝ่ายโยธา เขตบึงกุ่ม","เขตบึงกุ่ม, ฝ่ายโยธา เขตบึงกุ่ม, กรุงเทพมหานคร, เพื่อนชัชชาติ",ไฟฟ้าดับครับ,100.67488,13.78771,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/c129bb7386a1636d4597dae8f5b9bd794a45f8dc.jpg,,97/5 เสรีไทย 43 แยก 3 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,28/11/2023 20:06,start,,0,28/11/2023 20:11,,,,,
2023-F29TFZ,ทางเท้า,"กรุงเทพมหานคร, เขตประเวศ, เพื่อนชัชชาติ","เพื่อนชัชชาติ, เขตประเวศ, กรุงเทพมหานคร",น้ำจากร้านก๋วยเตี๋ยวป.ประทีปค่ะ มีกลิ่นเหม็นบนทางเท้า,100.65411,13.71653,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-11/8d97de0875c851c841d32b5e97cf06010c53b81e.jpg,,PM83+JJ8 ซอย อ่อนนุช 55 แขวงประเวศ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,ประเวศ,ประเวศ,กรุงเทพมหานคร,28/11/2023 20:06,start,,0,28/11/2023 20:06,,,,,
